attack_id,ground_truth,target_model,prompt_text,response_text,claude_classification,claude_reasoning,tony_review_status,tony_override
N/A,reciprocal,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,reciprocal,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,reciprocal,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,reciprocal,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,reciprocal,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,reciprocal,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,reciprocal,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,reciprocal,deepcogito/cogito-v2-preview-llama-405b,N/A,N/A,N/A,N/A,,
N/A,reciprocal,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,reciprocal,deepcogito/cogito-v2-preview-llama-405b,N/A,N/A,N/A,N/A,,
N/A,reciprocal,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,reciprocal,deepcogito/cogito-v2-preview-llama-405b,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,deepcogito/cogito-v2-preview-llama-405b,N/A,N/A,N/A,N/A,,
N/A,manipulative,deepcogito/cogito-v2-preview-llama-405b,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,deepcogito/cogito-v2-preview-llama-405b,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,deepcogito/cogito-v2-preview-llama-405b,N/A,N/A,N/A,N/A,,
N/A,manipulative,deepcogito/cogito-v2-preview-llama-405b,N/A,N/A,N/A,N/A,,
N/A,manipulative,moonshotai/kimi-k2-0905,N/A,N/A,N/A,N/A,,
N/A,manipulative,moonshotai/kimi-k2-0905,N/A,N/A,N/A,N/A,,
N/A,manipulative,google/gemini-2.5-flash,N/A,N/A,N/A,N/A,,
N/A,manipulative,google/gemini-2.5-flash,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,deepcogito/cogito-v2-preview-llama-405b,N/A,N/A,N/A,N/A,,
N/A,manipulative,moonshotai/kimi-k2-0905,N/A,N/A,N/A,N/A,,
N/A,manipulative,moonshotai/kimi-k2-0905,N/A,N/A,N/A,N/A,,
N/A,manipulative,moonshotai/kimi-k2-0905,N/A,N/A,N/A,N/A,,
N/A,manipulative,google/gemini-2.5-flash,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,moonshotai/kimi-k2-0905,N/A,N/A,N/A,N/A,,
N/A,manipulative,google/gemini-2.5-flash,N/A,N/A,N/A,N/A,,
N/A,manipulative,deepcogito/cogito-v2-preview-llama-405b,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,moonshotai/kimi-k2-0905,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,manipulative,google/gemini-2.5-flash,N/A,N/A,N/A,N/A,,
N/A,extractive,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,extractive,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
N/A,extractive,openai/gpt-5-chat,N/A,N/A,N/A,N/A,,
